text,department
facing blocked nose and it feels serious. it is not improving.,ENT
there is vaginal discharge happening since few hours. the paim is increasing.,Gynecology
facing severe chest pain and it feels serious. it is not improving.,Emergency
voice hoarseness is bothering me for few hours.,ENT
having eye pain from past a week. i am very worried.,Ophthalmology
i feel excess thirst continuously for 3 days. it started suddenly.,Endocrinology
having major trauma from past past 4 days. it started suddenly.,Emergency
i feel back pain continuously for one day. i am very worried.,Orthopedics
facing stomach pain and it feels serious. the pain is increasing.,Gastroenterology
experiencing severe stomach pain since a week. the pain is increasing.,Gastroenterology
i feel accident injury continuously for 2 days.,Emergency
there is viral infection happening since a week. it is getting worse.,General Medicine
dealing with rajor trauma for few hours now. it started suddenly.,Emergency
fatigue is bothering me for 2 days. it is not improving.,Endocrinology
there is severe chest pain happening since two weeks. the pain is increasing.,Emergency
i have been experiencing eye pain aor since morning.,Ophthalmology
i have been experiencing skin rash for 3 days. it is not improving.,Dermatology
facing pain while urinating and it feels serious. i am very worried.,Urology
sore throat is bothering me for one day. it started suddenly.,ENT
i feel rash in child continuously for few hours. it is getting worse.,Pediatrics
i feel acid reflux continuously for a week. the pain is increasing.,Gastroenterology
i have been experiencing sinus pain for 3 days. it started suddenly.,ENT
facing severe chest pain and it feels serious. i am very worried.,Emergency
i have been experiencing tightness in chest for since morning. it is not improving.,Cardiology
there is migraine happening since a week. the pain is increasing.,Neurology
i feel pain while urinating continuously for a week. it is getting worse.,Urology
having cough from past few hours. it is getting worse.,Pulmonology
facing menstrual cramps and it feels serious.,Gynecology
experiencing severe back pain since one day. i am very worried.,Orthopedics
facing depression and it feels serious. it started suddenly.,Psychiatry
facing pain while urinating and it feels serious. the pain is increasing.,Urology
suffering from back pain since few hours. it started suddenly.,Orthopedics
panic attacks is bothering me for few hours.,Psychiatry
having blocked nose from past last night. the pain is increasing.,ENT
facing fatigue and it feels serious.,Endocrinology
facing body pain and it feels serious. it started suddenly.,General Medicine
dealing with skin rash for 3 days now.,Dermatology
experiencing severe viral infection since past 4 days. i am very worried.,General Medicine
suffering from itching since lastfnight. i am very worried.,Dermatology
pelvic pain is bothering me frr two weeks. the pain is increasing.,Gynecology
i feel panic attacks continuously for two weeks. it started suddenly.,Psychiatry
i have been experaencing child cold for one day. it is getting worse.,Pediatrics
suffering from diarrhea since few hours. it is not improving.,Gastroenterology
having headache from past 3 days. i am very worried.,Neurology
experiencing severe heavy bleeding since last night. it started suddenly.,Emergency
facing skin irritation and it feels serious. it is getting worse.,Dermatology
pain while urinating is bothering me for past 4 days.,Urology
suwfering from dizziness since one day. it started suddenly.,Neurology
i have been experiencing ear discharge for last night. it is getting worse.,ENT
there is burning urination happening since two weeks. it is not improving.,Urology
facing dizziness and it feels serious. it is getting worse.,Neurology
headache is bothering me for last night. the pain is increasing.,Neurology
suffering from numbness in hand since last night. the pain is increasing.,Neurology
dealing with accident injury for two weeks now.,Emergency
i have been experiencing blurred vision for two weeks. i am very worried.,Ophthalmology
there is heavy bleeding happening since few hours.,Emergency
experiencing severe ankle injury since two weeks. it is not improving.,Orthopedics
there is unconsciousness happenqng since 3 days.,Emergency
fracture is bothering me for 2 days. it started suddenly.,Orthopedics
i have been experiencing sleep issues for since morning. it started suddenly.,Psychiatry
having skin irritation from past 2 days. i am very worried.,Dermatology
dealing with rash in child for last night now. it is getting worse.,Pediatrics
there is urine infection happening since last night. it started suddenly.,Urology
dealing with accident injury for few hours now.,Emergency
dealing with diarrhea for since morning now. it started suddenly.,Gastroenterology
experiencing severe stomach pain since one day. it is not improving.,Gastroenterology
experiencing severe joint swelling since last night.,Orthopedics
having thyroid problem from past since morning. it is getting worse.,Endocrinology
suffering from excess thirst since 3 days. the pain is increasing.,Endocrinology
there is red spots on skin happening since one day. it is not improving.,Dermatology
experiencing severe major trauma since one day. it is getting worse.,Emergency
itching is bothering me for last night.,Dermatology
shoulder pain is bothering me for past 4 days.,Orthopedics
i feel burning urination continuously for 3 days.,Urology
i feel itching continuously for few hours. it is not improving.,Dermatology
burning urination is bothering me for one day. i am very worried.,Urology
suffering froh blocked nose since a week.,ENT
i feel body pain continuously for last night. it started suddenly.,General Medicine
chest congestion is bothering me for past 4 days. i am very worried.,Pulmonology
dealing with blurred vision for a week now. it is getting worse.,Ophthalmology
there is seizures happening since one day. i am very worried.,Neurology
facing itching and it feels serious.,Dermatology
suffering from heavy bleeding since past 4 days. it is not improving.,Gynecology
i feel blurred vision continuously for past 4 days. i am very worried.,Ophthalmology
there is major trauma happening since few hours. the pain is increasing.,Emergency
suffering from weight gain since past 4 days.,Endocrinology
severe chest pain im bothering me for last night. it is not improving.,Emergency
facing skin irritation and it feelz serious. it is not improving.,Dermatology
i have been experiencing double vision for past 4 days. the pain is increasing.,Ophthalmology
i feel weight gain continuously for one day.,Endocrinology
there is depression happening since 2 days. it started suddenly.,Psychiatry
i feel sleep issues continuously for 2 days. it is getting worse.,Psychiatry
facing wheezing and it feels serious. it started suddynly.,Pulmonology
i have been experiencing wheezing for since morning. i am very worried.,Pulmonology
i have been experiencing sleep issues for 2 days. i am very worried.,Psychiatry
suffering from shoulder pain since few hours. it started suddenly.,Orthopedics
i feel excess thirst continuously for 2 days. it is not improving.,Endocrinology
i have been experiencing hormone imbalance for two weeks. it is not improving.,Endocrinology
experiencing severe heart palpitations since a week. the pain is increasing.,Cardiology
experiencing severe memory loss since since morning. i am very wofried.,Neurology
rash in child is bothering me for two weeks. it is getting worse.,Pediatrics
suffering from shoulder pain since a week. it is not improving.,Orthopedics
i have been experiencing general discomfort for 3 days. it is not improving.,General Medicine
having seizures from past two weeks. it started suddenly.,Neurology
i have been experiencing diarrhea for since morning. it is getting worse.,Gastroenterology
suffering from stomach pain since past 4 days. it is not improving.,Gastroenterology
i have been experiencing double vision for two weeks.,Ophthalmology
experiencing severe acid reflux since one day. i am very worried.,Gastroenterology
experiencing severe seizures since last night. it is not improving.,Neurology
persistent cough is bothering me for two weeks.,Pulmonology
i have been experiencing diarrhea for since morning. it started suddenly.,Gastroenterology
experiencing severe watery eyes since two weeks. the pain is increasing.,Ophthalmology
i have been experiencing itching for last night. i am very worried.,Dermatology
excess thirst is bothering me for 2 days. it is not improving.,Endocrinology
facing viral infection and it feels serious. the pain is increasing.,General Medicine
facing heart palpitations and it feels serious. it started suddenly.,Cardiology
i have been experiencing stomach pain for few hours.,Gastroenterology
having joint swelling from past 3 days. i am very worried.,Orthopedics
dealing with breathing difficulty for last night now. it started suddenly.,Pulmonology
dealing with sleep issues for since morning now. i am very worried.,Psychiatry
i have been experiencing joint swelling for 3 days. it is getting worse.,Orthopedics
burning urination is bothering me for two weeks.,Urology
i feel mood swings continuously for one day. it is getting worse.,Psychiatry
there is rash in child happening since one day. it started suddenly.,Pediatrics
irregular periods is bothering me for last night. it is getting worse.,Gynecology
there is diarrhea happening since 2 days. i am very worried.,Gastroenterology
i have been experiencing child fever for few hours. the pain is increasing.,Pediatrics
i feel pelvic pain continuously for 2 days. the pain is increasing.,Gynecology
there is cold and cough happening since few hours. the pain is increasing.,General Medicine
having general discomfort from past 2 days. it is gettpng worse.,General Medicine
dealing with heavy bleeding for one day now. it is getting worse.,Emergency
dealing with pain while urinating for since morning now. it is not improving.,Urology
experiencing severe child cough since since morning. it started suddenly.,Pediatrics
suffering from rapid heartbeat since few hours. i am very worried.,Cardiology
suffering from abdominal cramps since last night. it is now improving.,Gastroenterology
i have been experiencing weakness for last night. the pain is increasing.,General Medicine
facing acne and it feels serious. the pain is increasing.,Dermatology
i feel high blood sugar continuously for two weeks. it is getting worse.,Endocrinology
dealing with severe chest pain for past 4 days now. the pain is increasing.,Emergency
experiencing severe eye redness since since morning. it started sudgenly.,Ophthalmology
experiencing severe ankle injury ssnce two weeks. it is getting worse.,Orthopedics
dealing with period delay for 2 days nlw. it is getting worse.,Gynecology
i have been experiencing diarrhea for a week. it is not improving.,Gastroenterology
i have been experiencing chest congestion for two weeks. it is not xmproving.,Pulmonology
having watemy eyes from past 2 days. it is not improving.,Ophthalmology
ear pain is bothering me for last night. the pain is increasing.,ENT
having period delay from past last night.,Gynecology
experiencing severe stress since since morning. the pain is increasing.,Psychiatry
hormone imbalance is bothering me for last night. i am very worried.,Endocrinology
suffering from dry eyes since 2 days. it is not improving.,Ophthalmology
dealing with cough for since morning now. it is getting worse.,Pulmonology
i have been experiencing pelvic pain for few hours. the pain is increasing.,Gynecology
facing migraine and it feels serious. it started suddenly.,Neurology
dealing with rash in child for one day now.,Pediatrics
child fever is bothering me for few hours. i am very worried.,Pediatrics
suffering from itching since one day. it is getting worse.,Dermatology
breathing difficulty is bothering me for a week. it started suddenly.,Pulmonology
facing voice hoarseness and it feels serious. it is not improving.,ENT
suffering from frequent urination since onm day.,Urology
dealing with wateryveyes for one day now. it is not improving.,Ophthalmology
having viral infection from past since morning. it is getting worse.,General Medicine
i have been experiencing sleep issues for 2 days. it is getting worse.,Psychiatry
dealing with period delay fdr past 4 days now.,Gynecology
there is cold and cough happening since since morning. it is not improving.,General Medicine
dealing with dry eyes for one day now. i am very worried.,Ophthalmology
irregular periods is bothering me for 3 days. it started suddenly.,Gynecology
i hade been experiencing acid reflux for 2 days. the pain is increasing.,Gastroenterology
suffering from severe breathing issue since since morning.,Emergency
facing pain while urinating and it feels serious. it is getting worse.,Urology
burning urination is bothering me for two weeks. i am very worried.,Urology
i have been experiencing blood in urine for past 4 days. it is not improving.,Urology
facing rapid heartbeat and it feels serious. it is not improving.,Cardiology
facing shortness of breath and it feels serious. it is not improving.,Pulmonology
having skin irritation from past pzst 4 days. the pain is increasing.,Dermatology
i feel severe breathing issue continuously for last night. it is getting worse.,Emergency
having eye pain from past past 4 days. i am very worried.,Ophthalmology
experiencing severe thyroid problem since 3 days. i am very worried.,Endocrinology
i feel sleep issues continuously for past 4 days. it started suddenly.,Psychiatry
experiencing severe child cold since 2 days.,Pediatrics
i feel acne continuously for 3 days.,Dermatology
dealing with abdominal cramps for two weeks now. the pain is increasing.,Gastroenterology
mood swings is bothering me for a week. the pain is increasing.,Psychiatry
dealing with frequent urination for past 4 days now. i am very worried.,Urology
experiencing severe heavy bleeding since 3 days. it is not improving.,Gynecology
there is watery eyes happening since since morning.,Ophthalmology
suffering from eczema since two weeks. it is not improving.,Dermatology
heart palpitations is bothering me for past 4 days. it is getting worse.,Cardiology
ankle injury is bothering me for last night.,Orthopedics
child fever is bothering me for 2 days. the pain is increasing.,Pediatrics
there is weakness happening since since morning.,General Medicine
having dizziness from past since morning. i am very worried.,Neurology
dealing with wheezing for 3 days now. it is not improving.,Pulmonology
i have been experiencing persistent cough for past 4 days. the pain is increasing.,Pulmonology
i have been experiencing eye redness for a week.,Ophthalmology
experiencing severe voice hoarseness since 3 days. it started suddenly.,ENT
i feel chest congestion continuously for 2 days. i am very worried.,Pulmonology
i have been experiencing blurred vision for a week. it started suddenly.,Ophthalmology
experiencing severe heavy bleeding since one day. the pain is increasing.,Gynecology
period delay is bothering me for last night.,Gynecology
facing severe breathing issue and it feels serious. it started suddenly.,Emergency
having pain while urinating from past past 4 days. it is not improving.,Urology
dealing with breathing difficulty for 3 days now. it is getting worse.,Pulmonology
facing vomiting in child and it feels serious. it is getting worse.,Pediatrics
experiencing severe itching since few hours. it started suddenly.,Dermatology
experiencing severe weight gain since one day.,Endocrinology
i have been experiencing child fever for since morning. the pain is increasing.,Pediatrics
vomiting in child is bothering me for last night. it started suddenly.,Pediatrics
dealing with diarrhea for 3 days now. it started suddenly.,Gastroenterology
having chest congestion from past past 4 days.,Pulmonology
i feel hormone imbalance continuously for a week. it started suddenly.,Endocrinology
suffering from diarrhea since a week. i am very worried.,Gastroenterology
having eye redness from past a week. i am very worried.,Ophthalmology
i feel vomiting in child continuously for since morning. it is not improving.,Pediatrics
suffering from blood in urine since last night. it is not improving.,Urology
suffering from anxiety since a week. the pain is increasing.,Psychiatry
experiencing severe cold and cough since few hours.,General Medicine
suffering from vaginal discharge sinceatwo weeks. i am very worried.,Gynecology
i have been experiencing sleep issues for 2 days. the pain is increasing.,Psychiatry
experiencing severe sore throat since a week. i am very worried.,ENT
eye redness is bothering me for a week. it is getting worse.,Ophthalmology
acne is bothering me for two weeks. it is getting worse.,Dermatology
dealing with shortness of breath for 2 days now. i am very worried.,Pulmonology
dealing with tightness in chest for one day now. i am very worried.,Cardiology
having child cold from past last night. i am very worried.,Pediatrics
dealing with rapid heartbeat for 2 days now. the pain is increasing.,Cardiology
suffering from eczema since few hours. it is getting worse.,Dermatology
suffering from chest pain since few hours. it is getting worse.,Cardiology
facing chest pain and it feels serious. it is getting worse.,Cardiology
i have been experiencing body pain for since morning. the pain is increasing.,General Medicine
i feel blocked nose continuously for oneaday.,ENT
having vaginal discharge from past a week. it started suddenly.,Gynecology
experiencing severe sleep issues since 2 days. it is not improving.,Psychiatry
experiencing severe vomiting since 2 days. it started suddenly.,Gastroenterology
dealing with high blood sugar for past 4 days now. it is not improving.,Endocrinology
experiencing severe chest congestion since last night. it started suddenly.,Pulmonology
i have been experiencing blocked nose for 3 days. it is getting worse.,ENT
i have been experiencing accident injury for last night. it is not improving.,Emergency
having migraine from past one day. i am very worried.,Neurology
pressure in chest is bothering me for past 4 days. it is getting worse.,Cardiology
experiencing severe severe chest pain since one day. it started suddenly.,Emergency
experiencing severe cold and cough since few hours. it is not improving.,General Medicine
experiencing severe sleep issues since 2 days. i am very worried.,Psychiatry
suffering from acid reflux since two weeks.,Gastroenterology
suffering from dry eyes since a week. it started suddenly.,Ophthalmology
facing pelvic pain and it feels serious. it is getting worse.,Gynecology
i feel back pain continuously for 2 days. the pain is increasing.,Orthopedics
facing child stomach pain and it feels serious. it is not improving.,Pediatrics
facing rash in child and it feels serious. it is not improving.,Pediatrics
diarrhea is bothering me for a week.,Gastroenterology
i have been experiencing fatigue for few hours. it started suddenly.,Endocrinology
i feel back pain continuously forftwo weeks.,Orthopedics
dealing with sinus pain for two weeks now. i am very worried.,ENT
severe chest pain is bothering me for a week. i am very worried.,Emergency
voice hoarseness is bothering me for last night. it is not improving.,ENT
experiencing severe blood in urine since a week. i am very worried.,Urology
there is seizures happening since past 4 days. it is getting worse.,Neurology
there is stomach pain happening since few hours.,Gastroenterology
shortness of breath is bothering me for 3 days. the pain is increasing.,Pulmonology
i have been experiencing blood in urine for since morning. i am very worried.,Urology
i feel frequent urination continuously for 2 days.,Urology
facing persistent cough and it feels serious. the pain is increasing.,Pulmonology
experiencing severe child fever since one day. i am very worried.,Pediatrics
dealing with vomiting for 3 days now. it started suddejly.,Gastroenterology
i have been experiencing unconsciousness for two weeks. it is not improving.,Emergency
i have been experiencing mood swings for since morning. i am very worried.,Psychiatry
dealing wlth pain while urinating for two weeks now. it is not improving.,Urology
i feel irregular periods continuously for one day. it is not improving.,Gynecology
suffering from weight gain since one day. i am very worried.,Endocrinology
panic attacks is bothering me for a week. it started suddenly.,Psychiatry
experiencing severe fatigue since since morning. it is not improving.,Endocrinology
vomiting is bothering me for one day. the pain is increasing.,Gastroenterology
i have been experiencing irregular periods for 2 days. it started suddenly.,Gynecology
i feel stomach pain continuously for one day. it is not improving.,Gastroenterology
i feel panic attacks continuously for since morning. it is getting worse.,Psychiatry
suffering from fracture since past 4 days. it is getting worse.,Orthopedics
there is pelvic pain happening since last night. the pain is increasing.,Gynecology
watery eyes is bothering me for one day. it is getting worse.,Ophthalmology
dealing with pressure in chest for since morning now. it is getting worse.,Cardiology
suffering from seizures since last night. i am very worried.,Neurology
i have been experiencing child cough for two weeks. it is getting worse.,Pediatrics
having red spots on skin from past since morning. i am very worried.,Dermatology
suffering from pain while urinating since last night. it started suddenly.,Urology
facing viral infection and it feels serious. it is getting worse.,General Medicine
dealing with voice hoarseness for 3 days now. it started suddenly.,ENT
there is frequent urination happening since two weeks. it is not improving.,Urology
sleep issues is bothering me for one day. it started suddenly.,Psychiatry
i feel watery eyes continuously for 2 days. it is not improving.,Ophthalmology
sleep issues is bothering me for last night. it is not improving.,Psychiatry
blurred vision is bothering me for a week. the pain is increasing.,Ophthalmology
experiencing severe eczema since few hours.,Dermatology
having cold and cough from past 2 days.,General Medicine
facing pain while urinating and it feels serious.,Urology
experiencing severe eczema since past 4 days. it is not improving.,Dermatology
i feel severe breathing issue continuously for one day.tthe pain is increasing.,Emergency
having dry eyes from past two weeks. it is not improving.,Ophthalmology
i feel pain while urinating continuously for past 4 days. it is not improving.,Urology
suffering from thyroid problem since a week. i am very worried.,Endocrinology
there is dry eyes happening since last night. it is not improving.,Ophthalmology
experiencing severe severe breathing issue since last night. the pain is increasing.,Emergency
there is pressure in chest happening since few hours. it started suddenly.,Cardiology
dealing with heart palpitations for pastz4 days now. the pain is increasing.,Cardiology
i have been experiencing thyroid problem for past 4 days.,Endocrinology
facing shortness of breath and it feels serious. i am very worried.,Pulmonology
there is depression happening since past 4 days.,Psychiatry
i have been experiencing persistent cough for two weeks. i am very worried.,Pulmonology
experiencing severe watery eyes since past 4 days. it is getting worse.,Ophthalmology
suffering from vomiting since last night. the pain is increasing.,Gastroenterology
suffering from shortness of breath since one day. i am very worried.,Cardiology
migraine is bothering me for two weeks. it started suddenly.,Neurology
dealing with excess thirst for since morning now. it is not improving.,Endocrinology
having red spots on skin from past since morning. it is not improving.,Dermatology
suffering from eye pain since few hours.,Ophthalmology
i have been experiencing excess thirst for 2 days. it is not improving.,Endocrinology
hauing pressure in chest from past few hours. i am very worried.,Cardiology
there is cold and cough happening since a week. i am very worried.,General Medicine
i have been experiencing headache for 2 days. i am very worried.,Neurology
facing urine infection and it feels serious. it is getting worse.,Urology
having fracture from past past 4 days.,Orthopedics
dealing with double vision for a week now. it started suddenly.,Ophthalmology
dealing with dizziness for a week now.,Neurology
experiencing severe anxiety since 3 days.,Psychiatry
having chest congestion from past few hours.,Pulmonology
i feel bloating continuously for a week. it started suddenly.,Gastroenterology
there is rash in child happening since few hours. it is getting worse.,Pediatrics
there is persistent cough happening since 2 days. the pain is increasing.,Pulmonology
lower abdominal pain is bothering me for last night. it started suddeyly.,Urology
there is pressure in chest happening since since morning. it is getting worse.,Cardiology
facing bloating and it feels serious. it started suddenly.,Gastroenterology
i feel fatigue continuouslf for two weeks. it is getting worse.,Endocrinology
experiencing severe migrxine since 3 days.,Neurology
i feel heart palpitations continuously for past 4 days. it is getting worse.,Cardiology
suffering from period delay since since morning.,Gynecology
shoulder pain is bothering me for 2 days. it is getting worse.,Orthopedics
having child fever from past 3 days. it is not improving.,Pediatrics
i feel blocked nose continuously for last night. it is not improving.,ENT
dealing with double vision for one day now.,Ophthalmology
dealing with heavy bleeding for few hours now. it is getting worse.,Gynecology
i feel chest congestion continuously for two weeks. it is not improving.,Pulmonology
there is heart palpitations happening since 2 days. it started suddenly.,Cardiology
